Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
0 20150425 13:30:13 90 0 4 2 0 2 0 0 97 5245 2493 0 300 3 3.86 3.84 3.81 2 5 4016700 3752016 264684 0 59056 2466144 41800 48012 1164148 1867428 0 8120316 1052 8119264 0 0 100 0 0 2344688 30504 6 13148 0 0 0 0 9264 3653 8140 250 12048 0 0 0 0 0 205 1 205 30453 6 30460 34 1 35
10 20150425 13:30:23 68 0 2 14 0 2 0 15 72 5152 2234 1 301 2 4.11 3.89 3.82 2 3 4016700 3748360 268340 0 59064 2462028 41856 48012 1164852 1868196 0 8120316 1052 8119264 0 0 72 0 0 2340852 25444 8 7921 0 0 0 0 9328 3692 8150 278 12041 0 0 0 0 0 175 1 176 25508 5 25514 25 0 25
20 20150425 13:30:33 80 0 4 5 0 2 0 9 85 5153 2306 0 300 0 4.56 4.00 3.86 0 0 4016700 3780120 236580 0 59056 2497344 41888 48012 1163284 1866444 0 8120316 1052 8119264 0 0 44 0 0 2376052 27802 4 8652 0 0 0 0 9348 3670 8151 264 12044 0 0 0 0 0 187 1 188 27918 6 27924 32 0 32
30 20150425 13:30:43 72 0 3 6 0 2 0 18 76 5117 2219 1 301 3 4.80 4.06 3.88 2 4 4016700 3757776 258924 0 59040 2471168 41840 48012 1164332 1867528 0 8120316 1052 8119264 0 0 68 0 0 2349888 26570 2 7924 0 0 0 0 9312 3692 8154 281 12047 0 0 0 0 0 178 0 178 26390 2 26393 28 0 29
40 20150425 13:30:53 71 0 3 19 0 2 0 5 76 5197 2224 1 301 3 4.67 4.06 3.88 3 5 4016700 3801672 215028 0 59048 2514512 41856 48012 1164884 1868036 0 8120316 1052 8119264 0 0 64 0 0 2393336 26246 4 8257 0 0 0 0 9320 3688 8155 272 12048 0 0 0 0 0 176 1 177 26230 4 26234 29 0 29
50 20150425 13:31:03 86 0 4 8 0 1 0 1 92 5204 2310 0 300 1 5.11 4.17 3.92 1 7 4016700 3766588 250112 0 59032 2481576 41856 48012 1163608 1866848 0 8120316 1052 8119264 0 0 76 0 0 2360252 28823 3 10720 0 0 0 0 9324 3681 8164 252 12048 0 0 0 0 0 194 1 194 28826 3 28829 32 0 32
60 20150425 13:31:13 66 0 3 27 0 1 0 2 70 5209 2253 1 301 3 4.77 4.14 3.91 3 6 4016700 3754576 262124 0 59016 2467584 41892 48012 1164088 1868740 0 8120316 1052 8119264 0 0 80 0 0 2346264 26236 4 7916 0 0 0 0 9348 3687 8167 265 12048 0 0 0 0 0 172 1 173 26211 4 26215 33 0 33
70 20150425 13:31:23 78 0 3 16 0 2 0 1 83 5208 2309 0 301 1 5.34 4.28 3.96 1 2 4016700 3760132 256568 0 59016 2477420 41840 48012 1161192 1864308 0 8120316 1052 8119264 0 0 80 0 0 2356020 27093 3 8163 0 0 0 0 9304 3708 8182 277 12044 0 0 0 0 0 179 0 179 27246 3 27249 34 0 34
80 20150425 13:31:33 84 0 3 4 0 2 0 7 89 5245 2546 0 301 3 5.15 4.27 3.96 3 2 4016700 3751552 265148 0 59008 2465312 41824 48012 1163680 1866792 0 8120316 1052 8119264 0 0 68 0 0 2343952 29208 7 9396 0 0 0 0 9284 3677 8147 271 12048 0 0 0 0 0 200 1 200 29144 7 29151 29 0 30
90 20150425 13:31:43 73 0 3 6 0 2 0 16 78 5218 2423 0 301 2 5.05 4.28 3.97 2 0 4016700 3788024 228676 0 59008 2501640 41832 48012 1163476 1866420 0 8120316 1052 8119264 0 0 64 0 0 2380312 26470 3 8948 0 0 0 0 9300 3683 8149 276 12048 0 0 0 0 0 188 0 188 26508 3 26511 20 0 20
