Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
0 20150424 20:48:23 96 0 3 0 0 0 0 0 100 1004 1996 1 294 2 2.45 2.52 2.50 2 0 4016700 3804116 212584 0 38108 2561136 43100 47868 1139200 1864800 0 8120316 328 8119988 0 0 72 0 0 2471984 16632 2 10054 0 0 0 0 9292 13 17 2 22 0 0 0 0 0 129 0 129 16632 2 16634 2 0 2
10 20150424 20:48:33 96 0 3 0 0 0 0 0 100 1034 2024 0 293 2 2.38 2.50 2.50 2 0 4016700 3772016 244684 0 38108 2529784 43136 47868 1138964 1864380 0 8120316 328 8119988 0 0 72 0 0 2440492 16730 8 9469 0 0 0 0 9312 18 17 12 18 0 0 0 0 0 130 1 130 16730 8 16738 2 1 2
20 20150424 20:48:43 96 0 3 0 0 0 0 0 100 1068 2318 1 293 2 2.56 2.53 2.51 2 1 4016700 3756632 260068 0 38104 2514576 43116 47868 1138600 1864164 0 8120316 328 8119988 0 0 72 0 0 2425268 20172 0 6367 0 0 0 0 9308 6 4 2 2 0 0 0 0 0 151 0 151 20134 0 20134 7 0 7
30 20150424 20:48:53 96 0 4 0 0 0 0 0 100 1050 2198 0 293 2 2.63 2.55 2.51 2 0 4016700 3780316 236384 0 38112 2537360 43128 47868 1139044 1864424 0 8120316 328 8119988 0 0 76 0 0 2448000 18779 5 6972 0 0 0 0 9308 11 6 11 1 0 0 0 0 0 142 1 143 18817 5 18822 6 0 6
40 20150424 20:49:03 96 0 4 0 0 0 0 0 100 1068 2081 0 293 2 2.68 2.56 2.52 2 0 4016700 3758112 258588 0 38112 2516280 43108 47868 1139064 1864720 0 8120316 328 8119988 0 0 80 0 0 2427136 16733 6 9858 0 0 0 0 9292 24 29 12 35 0 0 0 0 0 128 1 129 16733 6 16739 3 0 3
50 20150424 20:49:13 96 0 3 0 0 0 0 0 100 1080 2089 0 293 2 2.73 2.58 2.52 2 0 4016700 3764940 251760 0 38120 2522332 43112 47868 1139040 1864568 0 8120316 328 8119988 0 0 80 0 0 2433168 16602 1 10656 0 0 0 0 9300 32 21 35 12 0 0 0 0 0 128 0 128 16602 1 16603 2 0 2
60 20150424 20:49:23 96 0 4 0 0 0 0 0 100 1089 2085 0 293 2 2.70 2.58 2.52 2 0 4016700 3758748 257952 0 38104 2516356 43124 47868 1138756 1864264 0 8120316 328 8119988 0 0 72 0 0 2427084 16552 2 11330 0 0 0 0 9304 22 19 18 18 0 0 0 0 0 128 0 128 16552 2 16554 2 0 2
70 20150424 20:49:33 96 0 4 0 0 0 0 0 100 1067 2190 0 293 2 2.74 2.59 2.53 2 0 4016700 3785416 231284 0 38120 2542364 43136 47868 1139836 1865252 0 8120316 328 8119988 0 0 72 0 0 2453248 18500 10 10592 0 0 0 0 9308 16 13 12 11 0 0 0 0 0 140 1 142 18500 10 18510 5 1 5
80 20150424 20:49:43 95 0 4 0 0 0 0 0 100 1100 2552 1 293 2 2.63 2.57 2.52 2 1 4016700 3752052 264648 0 38120 2512452 43120 47868 1136640 1862308 0 8120316 328 8119988 0 0 72 0 0 2423328 23346 2 7291 0 0 0 0 9308 10 10 2 12 0 0 0 0 0 165 0 166 23308 2 23310 17 0 18
90 20150424 20:49:53 96 0 3 0 0 0 0 0 100 1120 2637 1 293 3 2.85 2.62 2.54 2 0 4016700 3751216 265484 0 38120 2512796 43164 47868 1135752 1861340 0 8120316 328 8119988 0 0 88 0 0 2423596 24553 2 4052 0 0 0 0 9344 37 45 22 53 0 0 0 0 0 167 0 167 24591 2 24593 26 0 26
100 20150424 20:50:03 96 0 3 0 0 0 0 0 100 1100 2383 1 293 2 2.72 2.60 2.53 2 0 4016700 3759252 257448 0 38120 2516592 43136 47868 1138668 1864188 0 8120316 328 8119988 0 0 72 0 0 2427520 21004 6 7064 2 0 0 0 9316 26 35 13 42 0 0 0 0 0 153 1 154 21004 6 21010 15 0 15
110 20150424 20:50:13 96 0 3 0 0 0 0 0 100 1011 1984 0 293 5 2.61 2.58 2.53 5 0 4016700 3754044 262656 0 38128 2510988 43132 47868 1139984 1865484 0 8120316 328 8119988 0 0 104 0 0 2421780 16296 8 10706 0 0 0 0 9312 16 14 11 12 0 0 0 0 0 127 1 127 16296 8 16304 1 1 2
120 20150424 20:50:23 96 0 3 0 0 0 0 0 100 1016 2025 0 293 2 2.66 2.59 2.53 2 0 4016700 3761228 255472 0 38128 2518816 43116 47868 1138928 1864680 0 8120316 328 8119988 0 0 104 0 0 2429716 16666 1 10333 0 0 0 0 9308 5 2 1 1 0 0 0 0 0 129 0 130 16666 1 16667 1 0 1
