Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
0 20150424 15:15:13 97 0 3 0 0 0 0 0 100 1038 1934 0 291 2 2.33 2.36 2.29 2 0 4016700 3771216 245484 0 8924 2619524 19500 47804 1101112 1905948 0 8120316 0 8120316 0 0 144 0 0 2521520 15007 10 9721 0 0 0 0 8832 21 25 2 34 0 0 0 0 0 116 1 117 15007 10 15016 1 2 3
10 20150424 15:15:23 96 0 3 0 0 0 0 0 100 1049 1945 1 292 2 2.44 2.39 2.30 2 0 4016700 3800612 216088 0 8924 2646972 19464 47804 1103104 1908064 0 8120316 0 8120316 0 0 148 0 0 2548932 14848 5 8899 0 0 0 0 8804 40 23 36 13 0 2 0 0 0 116 1 117 14848 5 14853 0 0 0
20 20150424 15:15:33 97 0 3 0 0 0 0 0 100 1055 1970 0 293 4 2.45 2.39 2.30 4 0 4016700 3786864 229836 0 8932 2634964 19464 47804 1102472 1907340 0 8120316 0 8120316 0 0 64 0 0 2536856 15053 13 8826 0 0 0 0 8808 19 7 12 2 0 1 0 0 0 117 2 119 15040 13 15054 0 0 1
30 20150424 15:15:43 96 0 3 0 0 0 0 0 100 1024 1943 0 291 2 2.38 2.38 2.30 2 0 4016700 3757824 258876 0 8924 2605572 19452 47804 1101420 1906452 0 8120316 0 8120316 0 0 64 0 0 2507580 14876 0 10880 0 0 0 0 8808 14 9 2 11 0 1 0 0 0 116 0 116 14888 0 14888 0 0 0
40 20150424 15:15:53 96 0 4 0 0 0 0 0 100 1013 1905 0 291 2 2.47 2.40 2.31 2 0 4016700 3798024 218676 0 8924 2645668 19496 47804 1101920 1906796 0 8120316 0 8120316 0 0 84 0 0 2547520 15029 3 11424 0 0 0 0 8836 23 18 13 17 0 1 0 0 0 116 0 117 15029 3 15032 1 0 1
50 20150424 15:16:03 96 0 3 0 0 0 0 0 100 1025 2001 0 291 2 2.40 2.38 2.30 2 0 4016700 3780896 235804 0 8924 2627980 19480 47804 1103244 1908188 0 8120316 0 8120316 0 0 116 0 0 2529928 16039 6 10747 0 0 0 0 8820 18 6 12 2 0 0 0 0 0 124 0 124 16039 6 16045 2 1 3
60 20150424 15:16:13 96 0 3 0 0 0 0 0 100 1050 2068 1 291 2 2.49 2.40 2.31 2 0 4016700 3775060 241640 0 8932 2622452 19456 47804 1103092 1908176 0 8120316 0 8120316 0 0 80 0 0 2524356 16898 5 11676 0 0 0 0 8816 24 19 13 18 0 0 0 0 0 130 1 131 16898 5 16904 3 0 3
70 20150424 15:16:23 96 0 3 0 0 0 0 0 100 1020 2016 1 291 2 2.42 2.39 2.31 2 0 4016700 3757328 259372 0 8392 2606020 19464 47804 1101008 1905968 0 8120316 0 8120316 0 0 80 0 0 2506996 16669 0 11528 0 0 0 0 8816 24 31 3 41 0 1 0 0 0 130 0 130 16669 0 16669 1 0 1
80 20150424 15:16:33 95 0 4 0 0 0 0 0 100 1052 2044 1 291 2 2.35 2.38 2.30 2 0 4016700 3756964 259736 0 8388 2606360 19476 47804 1101596 1906668 0 8120316 0 8120316 0 0 92 0 0 2507284 16786 11 10269 0 0 0 0 8824 37 41 13 51 0 1 0 0 0 129 1 130 16786 11 16797 2 1 3
90 20150424 15:16:43 96 0 4 0 0 0 0 0 100 1074 2067 1 291 2 2.37 2.38 2.31 2 0 4016700 3786732 229968 0 8304 2636304 19476 47804 1101260 1906248 0 8120316 0 8120316 0 0 48 0 0 2537184 16710 8 9978 0 0 0 0 8828 26 30 3 41 0 1 0 0 0 129 1 130 16710 8 16717 2 0 2
100 20150424 15:16:53 96 0 4 0 0 0 0 0 100 1026 2019 0 291 2 2.32 2.37 2.30 2 0 4016700 3757088 259612 0 8296 2604632 19464 47804 1103488 1908428 0 8120316 0 8120316 0 0 72 0 0 2505548 16642 0 10481 0 0 0 0 8820 30 17 26 11 0 0 0 0 0 130 0 130 16642 0 16642 1 0 1
110 20150424 15:17:03 95 0 4 0 0 0 0 0 99 1077 2084 1 291 2 2.27 2.36 2.30 2 0 4016700 3800884 215816 0 8308 2648252 19516 47804 1102608 1907764 0 8120316 0 8120316 0 0 80 0 0 2549024 16702 5 11272 2 0 0 0 8864 44 30 38 22 0 1 0 0 0 129 1 130 16702 5 16706 5 0 5
120 20150424 15:17:13 96 0 3 0 0 0 0 0 100 1035 2011 0 291 2 2.45 2.39 2.31 2 0 4016700 3762552 254148 0 8300 2612000 19484 47804 1101712 1906596 0 8120316 0 8120316 0 0 104 0 0 2512812 16039 6 11406 0 0 0 0 8832 28 11 26 2 0 0 0 0 0 125 1 125 16039 6 16045 1 1 2
130 20150424 15:17:23 96 0 4 0 0 0 0 0 100 1065 2102 1 291 2 2.46 2.40 2.32 2 1 4016700 3789468 227232 0 8304 2638560 19488 47804 1101420 1906364 0 8120316 0 8120316 0 0 108 0 0 2539456 17338 1 10192 0 0 0 0 8848 34 37 13 46 0 1 0 0 0 133 0 134 17313 1 17314 2 0 3
140 20150424 15:17:33 96 0 3 0 0 0 0 0 100 1033 2059 1 291 2 2.39 2.39 2.31 2 0 4016700 3779548 237152 0 8296 2630080 19496 47804 1099900 1904868 0 8120316 0 8120316 0 0 64 0 0 2530892 16781 8 10617 0 0 0 0 8844 21 14 13 12 0 1 0 0 0 129 1 130 16807 8 16814 3 0 3
150 20150424 15:17:43 96 0 3 0 0 1 0 0 100 1060 2050 0 291 2 2.63 2.44 2.33 2 0 4016700 3754772 261928 0 8296 2604500 19520 47804 1100532 1905348 0 8120316 0 8120316 0 0 64 0 0 2505228 16669 5 9581 0 0 0 0 8868 34 36 19 42 0 1 0 0 0 129 1 129 16669 5 16674 2 0 2
160 20150424 15:17:53 96 0 4 0 0 0 0 0 100 1074 2101 0 291 2 2.84 2.49 2.35 2 0 4016700 3777504 239196 0 8296 2626684 19556 47804 1101836 1906840 0 8120316 0 8120316 0 0 92 0 0 2527576 17026 4 10724 0 0 0 0 8908 26 20 19 18 0 0 0 0 0 131 0 132 17026 4 17030 2 0 2
170 20150424 15:18:03 96 0 4 0 0 0 0 0 100 1033 2010 0 291 2 2.79 2.49 2.35 2 0 4016700 3794104 222596 0 8296 2642404 19524 47804 1101100 1906144 0 8120316 0 8120316 0 0 88 0 0 2543292 16284 2 11469 0 0 0 0 8884 11 3 2 1 0 0 0 0 0 126 0 126 16284 2 16286 2 0 2
180 20150424 15:18:13 96 0 4 0 0 0 0 0 99 1020 2080 0 291 2 2.75 2.49 2.35 2 0 4016700 3793576 223124 0 8288 2643976 19508 47804 1100500 1905396 0 8120316 0 8120316 0 0 60 0 0 2544716 17484 5 9603 0 0 0 0 8856 16 8 13 2 0 0 0 0 0 134 1 135 17484 5 17489 3 0 3
190 20150424 15:18:23 97 0 3 0 0 0 0 0 100 1052 2054 1 291 2 2.71 2.49 2.35 2 0 4016700 3782656 234044 0 8304 2631920 19496 47804 1101272 1906052 0 8120316 0 8120316 0 0 76 0 0 2532712 16760 4 10599 0 0 0 0 8844 27 37 3 51 0 1 0 0 0 129 1 129 16760 4 16765 3 0 3
200 20150424 15:18:33 96 0 4 0 0 0 0 0 100 1082 2101 0 291 4 2.60 2.47 2.35 3 0 4016700 3755120 261580 0 8304 2602708 19500 47804 1101984 1906908 0 8120316 0 8120316 0 0 68 0 0 2503508 16501 4 10504 0 0 0 0 8844 22 13 12 11 0 1 0 0 0 127 0 127 16501 4 16505 3 0 3
210 20150424 15:18:43 97 0 3 0 0 0 0 0 100 1060 2049 1 291 2 2.58 2.48 2.35 2 0 4016700 3781904 234796 0 8296 2630948 19488 47804 1102084 1907240 0 8120316 0 8120316 0 0 68 0 0 2531648 16622 0 9552 0 0 0 0 8844 30 42 3 58 0 1 0 0 0 128 0 128 16622 0 16622 2 0 2
