KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2004088 used,  2012616 free,   182192 buffers
KiB Mem:   4016704 total,  2004088 used,  2012616 free,   182192 buffers
KiB Mem:   4016704 total,  2004088 used,  2012616 free,   182192 buffers
KiB Mem:   4016704 total,  2004088 used,  2012616 free,   182192 buffers
KiB Mem:   4016704 total,  2004088 used,  2012616 free,   182192 buffers
KiB Mem:   4016704 total,  2004088 used,  2012616 free,   182192 buffers
KiB Mem:   4016704 total,  2003824 used,  2012880 free,   182192 buffers
KiB Mem:   4016704 total,  2003824 used,  2012880 free,   182192 buffers
KiB Mem:   4016704 total,  2003824 used,  2012880 free,   182192 buffers
KiB Mem:   4016704 total,  2003824 used,  2012880 free,   182192 buffers
KiB Mem:   4016704 total,  2003824 used,  2012880 free,   182192 buffers
KiB Mem:   4016704 total,  2003824 used,  2012880 free,   182192 buffers
KiB Mem:   4016704 total,  2003700 used,  2013004 free,   182192 buffers
KiB Mem:   4016704 total,  2003700 used,  2013004 free,   182192 buffers
KiB Mem:   4016704 total,  2003700 used,  2013004 free,   182192 buffers
KiB Mem:   4016704 total,  2003700 used,  2013004 free,   182192 buffers
KiB Mem:   4016704 total,  2003700 used,  2013004 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003528 used,  2013176 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182192 buffers
KiB Mem:   4016704 total,  2003396 used,  2013308 free,   182192 buffers
KiB Mem:   4016704 total,  2003396 used,  2013308 free,   182192 buffers
KiB Mem:   4016704 total,  2003396 used,  2013308 free,   182192 buffers
KiB Mem:   4016704 total,  2003396 used,  2013308 free,   182192 buffers
KiB Mem:   4016704 total,  2003396 used,  2013308 free,   182192 buffers
KiB Mem:   4016704 total,  2003396 used,  2013308 free,   182192 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182196 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182196 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182196 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182196 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182196 buffers
KiB Mem:   4016704 total,  2003644 used,  2013060 free,   182196 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182196 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182196 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182196 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182196 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182196 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182196 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182200 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182200 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182200 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182200 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182200 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182200 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182200 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182200 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182200 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182200 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182200 buffers
KiB Mem:   4016704 total,  2003496 used,  2013208 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182200 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182204 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182204 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182204 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182204 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182204 buffers
KiB Mem:   4016704 total,  2003520 used,  2013184 free,   182204 buffers
KiB Mem:   4016704 total,  2003892 used,  2012812 free,   182204 buffers
KiB Mem:   4016704 total,  2003892 used,  2012812 free,   182204 buffers
KiB Mem:   4016704 total,  2003892 used,  2012812 free,   182204 buffers
KiB Mem:   4016704 total,  2003892 used,  2012812 free,   182204 buffers
KiB Mem:   4016704 total,  2003892 used,  2012812 free,   182204 buffers
KiB Mem:   4016704 total,  2003892 used,  2012812 free,   182204 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182204 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182204 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182204 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182204 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182204 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182204 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182204 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182204 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182204 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182204 buffers
KiB Mem:   4016704 total,  2003620 used,  2013084 free,   182204 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182208 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182208 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182208 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182208 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182208 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182208 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182216 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182216 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182216 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182216 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182216 buffers
KiB Mem:   4016704 total,  2003636 used,  2013068 free,   182216 buffers
KiB Mem:   4016704 total,  2003388 used,  2013316 free,   182216 buffers
KiB Mem:   4016704 total,  2003388 used,  2013316 free,   182216 buffers
KiB Mem:   4016704 total,  2003388 used,  2013316 free,   182216 buffers
KiB Mem:   4016704 total,  2003388 used,  2013316 free,   182216 buffers
KiB Mem:   4016704 total,  2003388 used,  2013316 free,   182216 buffers
KiB Mem:   4016704 total,  2003388 used,  2013316 free,   182216 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182220 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182220 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182220 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182220 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182220 buffers
KiB Mem:   4016704 total,  2003760 used,  2012944 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003736 used,  2012968 free,   182220 buffers
KiB Mem:   4016704 total,  2003968 used,  2012736 free,   182220 buffers
KiB Mem:   4016704 total,  2003968 used,  2012736 free,   182220 buffers
KiB Mem:   4016704 total,  2003968 used,  2012736 free,   182220 buffers
KiB Mem:   4016704 total,  2003968 used,  2012736 free,   182220 buffers
KiB Mem:   4016704 total,  2003968 used,  2012736 free,   182220 buffers
KiB Mem:   4016704 total,  2003968 used,  2012736 free,   182220 buffers
KiB Mem:   4016704 total,  2003836 used,  2012868 free,   182220 buffers
KiB Mem:   4016704 total,  2003836 used,  2012868 free,   182220 buffers
KiB Mem:   4016704 total,  2003836 used,  2012868 free,   182220 buffers
KiB Mem:   4016704 total,  2003836 used,  2012868 free,   182220 buffers
KiB Mem:   4016704 total,  2003836 used,  2012868 free,   182220 buffers
KiB Mem:   4016704 total,  2003836 used,  2012868 free,   182220 buffers
KiB Mem:   4016704 total,  2003688 used,  2013016 free,   182224 buffers
KiB Mem:   4016704 total,  2003688 used,  2013016 free,   182224 buffers
KiB Mem:   4016704 total,  2003688 used,  2013016 free,   182224 buffers
KiB Mem:   4016704 total,  2003688 used,  2013016 free,   182224 buffers
KiB Mem:   4016704 total,  2003688 used,  2013016 free,   182224 buffers
KiB Mem:   4016704 total,  2003688 used,  2013016 free,   182224 buffers
KiB Mem:   4016704 total,  2003936 used,  2012768 free,   182224 buffers
KiB Mem:   4016704 total,  2003936 used,  2012768 free,   182224 buffers
KiB Mem:   4016704 total,  2003936 used,  2012768 free,   182224 buffers
KiB Mem:   4016704 total,  2003936 used,  2012768 free,   182224 buffers
KiB Mem:   4016704 total,  2003936 used,  2012768 free,   182224 buffers
KiB Mem:   4016704 total,  2003936 used,  2012768 free,   182224 buffers
KiB Mem:   4016704 total,  2003920 used,  2012784 free,   182228 buffers
KiB Mem:   4016704 total,  2003920 used,  2012784 free,   182228 buffers
KiB Mem:   4016704 total,  2003920 used,  2012784 free,   182228 buffers
KiB Mem:   4016704 total,  2003920 used,  2012784 free,   182228 buffers
KiB Mem:   4016704 total,  2003920 used,  2012784 free,   182228 buffers
KiB Mem:   4016704 total,  2003944 used,  2012760 free,   182232 buffers
KiB Mem:   4016704 total,  2003944 used,  2012760 free,   182232 buffers
KiB Mem:   4016704 total,  2003944 used,  2012760 free,   182232 buffers
